nama_caleg,pasangan
"GUNTARAYADI, S.P.",EMI SHINTA SITANGGANG
HUSAINI MH,DARA ARUNI
MUHAMMAD SUFI,Rizwana
"LISNAWATI GINTING, S.H.,M.H.",RIDHO MARIUS BANGUN
"Ir. H. T. A. KHALID, M.M",CUT AFNI ZAHARA
CUT PUTEH,BAPAK
"FERRY MUNANDAR, ST",IBU
"Ir. H. NASARUDDIN, MM",Hj. APINI
"SITI NURMASYITHAH, S.Sos",BAPAK
ILHAM PANGESTU,VENTY ANGRIANI
DRS. H. MARZUKI DAUD,POCUT OLLY IDAMULINA
"CUT RIZKA SEPTIANI, M.Si",-
"FIRMANDEZ, S.E., Ak.",ROSMULYATI
"REDUK NILAWARNI, S.Pd",ZAMHARIR AR
T. YUSNI,ROSMALINA
"H. MUHAMMAD NASIR DJAMIL, S. AG.,M. Si",KHASANAH
"TGK. H. MUHAMMAD NUR, M. Si",dr. Nur Asiah Fitria
BARMANSYAH,INDI LISTYOWATI
"M. YUSUF ISMAIL PASE, SH, MH",HJ. MEUTIA AHMAD S.Pd
"SARI DEWI, SE.Ak",M. Fauzi
"MAHFUZD, SE",-
"SAYUTI, SH.MH",YULINDA
SRI ARIANA NINGSIH,-
RUSLAN M. DAUD,HJ. FARIDAH BINTI ADAM
RAHMI ABDI,Ngatimin
"FAISAL RIDHA, S.Ag., MM",Maitanur binti Mahyiddin
ZULFAN LINDAN,Nurdjannah
MUHARUDDIN,Syarifah Rahmah
FATIMAH ZUHRA,Muhammad Syukri
EFENDI,Asmaryati
"DR. IBRAHIM HASYIM SE, MM",Joy Sarabia Ibrahim
RIMA MELATI,-
"H ANWAR IDRIS,DRS",Hj. Rohayanilawati
AKMAL HANIF,Putri
NURHANITA ZAHARA,"Sudianto, SH"
Ir. SYUKUR KOBATH,Iwardatika
"JAMALUDIN, SE",Arie Wardiana
CUT FATNIAH,"Dedi Fariadi,M.Pd"
"KAMARUDDIN, SH",RR ILMIA ASTUTI RAHAYU
"RAMADLAN, ST, MT",ROSNAWATI AMD KES
IKA LESTARI,NN
CUT ERNITA,-
ZAMZAMI,CUT SANTI NORAVITA
M HUSNI,-
GIVIANNA ELY,-
HERMAN KOSASIH,RATNA DEWI
"HERMAN BAHARI, S.H",SITI AISYAH
"RAZALI ZAINUDDIN, A.Md.","Idawati, S.Km"
NURHAYATI,-
SIWI ASRI MOPRIRATNA,DONNY APRILIANANDA
YAHDI KHOIR HARAHAP,SATIA MARINI MARGOLANG
"HJ. ZURAIDAH GHINA, SE",IR. DES ARIYANTO
ABDUL KHOLIK HARAHAP,KHAIRIAH SIREGAR
"BUDI ARDHYA UTAMA, S.SOS",LIZA DAMAYANTI LAFAU
ANDA SUHENDRA RAMBE,EKA DIAN RAHMAYUNI
"SANTI OCTAVENTI, SPD",JIMMI ALICAN SIREGAR
DIPA HARA FITRA,-
NURDIN,NIRWATI KEMALA SARI
ZAHARA,MUHAMMAD GUSTIAN
MUHAMMAD TASLIM,DAHWANI FITRI
MAYANG SARI,SUMALI
"HADDAMAINI, SH",DRS. JAMRAH
"IR. T. ALEXANDER FASHA, M.Sc",Erni Rohaeni
"SAFRIDA HANUM DAMANIK, S.Pd",MUHAMMAD HAFIZ
"ZAINAL, S.Pd",ROSIDAH
"KHAIRUL ANHAR HARAHAP, SH","HENNY PRASILAWATY, SKM"
SAIDAH,AZHAR AMRI
"AL HASYIR, SAB",ENCIK ADE SURYANI LUBIS
WIWIK SUGENG,MARNISA
ZINNIRA,NAZARUDDIN NST SP
"H. DAMRI TAMBUNAN, SHI, S.Pd.I","NINING SRI WAHYUNI, S.Pd.I"
Drs. H.. JUMIRAN ABDI,Hj. SITI NIRWANA BARUS
"DR. H.. THAMRIN, M. Hum","Dra. ARMAIAVI JANNAH, NST"
ARIE ZOKHI NAMAMURA RANGKUTI,"ILNA MAULIDA, S.Psi"
Ir.. PIRDOT,MARIA ELVI JOJOR BR SINAGA
ABDUL HALIM,DEBI HERIANA NASUTION
"ZULKIFLI, S.PD.I","FATMAH SYARAH, S.PD.I, , M.PD"
"Drs.H.. DARWIS, MSi",SITI FATIMAH
"QAHFI ROMULA SIREGAR, MM","JUMEIDA BR SIMATUPANG, SE"
"SRI KUMALA, SE.MM",SUPRIADINATA
"IR. KHAIRUL SALEH, MT",Roslina Br. Rangkuti
"ZULFAN, ST",Angelina
"PAGAR JENSWIN PANDIANGAN, S.Ked",dr.Nurlela Mega Simanjuntak
FAIZAL,Arini Adha
"AFRIZA AFNI, IM",M.Asri Sa ban
BENNY HIDAYAT,LIA ARIANI SINAGA
KUMALAWATI,-
ZUL BAHARI AMRA SH,"Nani Kurniati,S.Si"
"SYAMSUL BAHRI BATUBARA, SH",HJ. ROSMAYANA TANJUNG (ALM)
"DHODY THAHIR, SE",ADE FEBRINA
"DIA RAMAYANA, S.Th.I., MM",RONI RAHMAD
MAHYARUDDIN SALIM B,MAS HANDAYANI SIAHAAN
ROMAY NOOR,FARIDA
"Dra. HJ. FATIMA NASUTION, MA",Alm. ISHAK SULAIMAN LUBIS
"H. SELAMAT, SE., M.Si","RAHMA DANIAH, SE"
ABDUL GAFUR RITONGA,RICCA FEBRIANI HUTAHURUK
"USMAN MARPAUNG, S.Pd",ZULIA HAZLI
"WARISNO, SH",Siah
"ABDUL MANAF, SH, MH",JULIANA
"EBENEJER SITORUS, SE",Nelly Silaen
MEMET S SIREGAR,Siti Chairunisa
"DIANA SISTER, S.Pd",Irwansyah Siregar
RAHMAD JUANDA,-
ARIF FATHURRAHMAN HUTAPEA,-
DARNIWATI,Rashari Syahrifin
"ZULKIFLI AR, SH, M. Hum","Farida Hanum, SH"
ERRIS JULIETTA NAPITUPULU,MAROLOP PANGARIBUAN
AGUS IRVANSYAH,ARINA WIDIANA
JONARI HENDRA SIHOMBING,TIORIDA SIMATUPANG
DAHLIA EVINA INDAH,-
