nama_caleg,pasangan
SUHENDRY,DEWI EVA SUSANTI
SAMUEL EFENDI PANGARIBUAN,-
EVIANA MANALU,-
SYAHRIL,-
JEFRI ROI R. ARUAN,DEWI BR SIREGAR
RENDY RENALDO HUTABARAT,-
"AHMAD HADIAN, S.Pd.I.",HENI JELITA PANJAITAN
"YUSWIN ISKANDAR YUSLAN, S.E.","ARITHA BR PANDIA, S.Si,. Apt."
"IKA MEISITA, S.Pd.","AHMAD NUR RAMADHANSYAH, S.Pd."
"H. AHMAD KOSIM MARPAUNG, S.Ag., M.Si.","EKA HARYATI, S.Ag."
"ABDUL JABBAR, SE., M.Si.",NURLELA SIREGAR
"RUKAYAH NOPRILAN SIAGIAN, S.Pd.",SUHENDRI
Dra. AINUL FUAD,dr. M. Arief Lubis
"ZAHARUDDIN, SE",Rusminar
RAJUDDIN SINAGA,Hj. Ratna Wati
FIRMA PANE,Ani Farida
DEWI PUTRI ING,-
BUSTAMAN MANGATAS SAMOSIR,MELINDA
"Drs. TOMMET SIMBOLON, M.Si","Elsa Br Hutagaol S.Pd., M.M"
"IRMA ARIFIN, S.I.Kom",PASIFIC
"Drs. ROMULUS TINDAON, SH",HOTMA IDAULI SITORUS
"ZAMIAH, Amk","RAHMAT AL HUDAWI, S.Pd"
"TAUFIK ABDI HIDAYAT, S.Sos",IRA VANNY
"Ir. ARIEF FANSYURI NASUTION, M.Si",Linda Yana Lubis
"Hj. MAYSARAH, S.Sos., MM",Alm. H. EFFENDI A.R
"MUHAMMAD JUSUF SIRAIT, SE.",-
HAPOSAN HARIANTO TOBING,HERPUNA TIAJATI
"ERLINA, DRA",ZULHANIFI
CHAIRUL PURBA,NURAIDA HASIBUAN
"ANITA BR SEMBIRING, SE., MM",-
BUDI IRAWAN,RETNO INDRIASARI
DEDDY RAHMAN,NISSA NOVRISKA YUDHA
"RAJI N. SITEPU, S. Sos., M. Si.",-
"EKA HADI SUCIPTO, SE.",ALDANALIA DELVI
"AHMAD BAY LUBIS, S.H., M.H.","ELVINASARI NASUTION, SE"
ERVINA,-
"WINTER EDUWARD SITUMORANG, SH",EPPI NIARTI PANGGABEAN
JASMINE RAVASIA,FAIZAL KAMIL
Ir. NEFONTA SEMBIRING,DEWI ANGGRAENI
H. AZWIR,NIHAYA HANUM
"HAKIM HATTA, A.Md",ALLENIDEKANIA
FITRIANI,ABDURRAHMAN
Drs. RABU ALAM SYAHPUTRA,FITRIANI
"Drs. DJAROT SAIFUL HIDAYAT, M.S.",HAPPY FARIDA
"Dr. JUNIMART GIRSANG, S.H, MBA.,M.H.",RISAN ULI SIDABUTAR
R MAWARNI PUTRI TAMPUBOLON,-
"BOB ANDIKA MAMANA SITEPU, S.H.",-
"BRIGJEN TNI (PURN) TARIDA H. SINAMBELA, S.IP",LAMRIA BR. PASARIBU
"HJ. ALIA MAISARAH, S.IP., M.Si.",IDIAL FITRA HANIF
"WESLY SILALAHI, S.H.,M.Kn",LISWATI
HAJI EDDI RANGKUTI,UMMI KALSUM SIREGAR
"WIWI YUNIARTI, S.E.",IRZAN SATI
"JENRI SINAGA, S.E, M.M.","Dr.Purnama T Sianturi, SH, Mhum"
MARTIN H HUTABARAT,JULI SUHAERANI POERBA
"Prof. DR, Ir. DJOHAR ARIFIN HUSIN",HJ. MARINA BINTI HAJI ABDUL MAJID HUTABARAT
"NORA MALAU, S.Th, M.Th",BAPAK
"DWI APRIYANTI, S.Pd",-
THOMAS JOVERSON GINTING,LENNY MARLINA BR SEMBIRING
"SUGIAT SANTOSO, SE., M.SP",RINI NI ILMA ST
"SRI KUMALA DEVI, Am. Keb.",AYAH
"JONNY BUYUNG SARAGI, S.H., M.H.",FEMMY MERRY HELENA SIMANUNGKALIT
Ir. ANDI AKMAL AMNUR,DRA.AGUSTINA
"Drs. GATTA CHAIRUDDIN, SH",R.INNE INDRIANY NATANEGARA
H. AHMAD DOLI KURNIA TANDJUNG,Yanti Sunanti
Dr. CAPT ANTHON SIHOMBING,Nertyna Tamana Simbolon
"IRAMA ANGKAT, S.Sos.I., M.Si",THOMAS ANTHONY FLITCROFT
"DJAFAR RULIANSYAH LUBIS, M.H",-
Ir. ALIWONGSO HALOMOAN SINAGA,ALM. DAISY DORTHIA TAMBUNAN
"DELIA PRATIWI BR. SITEPU, S.H.","REZA DOFIT LESTARI, SE, M.AP"
"ADHERIE ZULFIKRI, S.H.","EKA APRIANTY, SH"
"CHATRINE ANGELLA TJUATJA, S.E",-
Ir. TENGKU M. NURHAFIDZ,YULIANA FITRIA SARI
"ANGGIAT BARIS MANGISI MANALU, S.Pd., S.H","ERIKA AMBARITA, S.Pd, MM"
H. ANSORY SIREGAR,ANITA ZAHARAH HARAHAP
"DR. USMAN JAKFAR, LC., MA",DR. PPINTA PUDIYANTI SIREGAR MSC
"SYAHFITRI HANI HARAHAP, SH",Pery A
SRI FRA PANTI,"SURIANDA LUBIS, S.AG."
"H. SANUSI GHAZALI PANE, SE., M.Si","ANITA HILDA, S.Si, Apt"
SITI JULAEHA,Sutanto
"Dr. (C). ZAINUDDIN NUR, S.H., ME.",-
RAZMAN ARIF,Ade Suryani
"IMRAN MUCHTAR, BSC, SH",NAZARIAH
DAMAI YONA NAINGGOLAN,Nasip Parulian Simamora
"H. SURATMAN, SP","HJ.FARIDAH, Spd"
"PARDAMEAN SIREGAR, S.P., M.A.P.",Delima Engliwati Napitupulu
"SEVEN SIMANJUNTAK, S.Kep., Ners.",Jr. Sahat Pardede
A. JABIDI RITONGA,Lili Safitri
HERLINA NASUTION,-
OK ZULKIFLIE,SYAFA ATI
"Dr. NURHAJIZAH M, SH, MH",TUNAS DWI DHARTO
"JORDIMAN PURBA, SE","Sawitri Marbun,SE"
"TUMPU CAPAH, IR, M.Si.",Suryani Angkat
MAYLANINGSIH SUNDARI,Edwin Widiyanto
H. MUZAKHIR RIDA,Liza Novira
"HERI INDRA UTAMA, SH",Fatmah Yulianita
EFRIDA RANA FRISTIANTI,Agus Mrsyah
INDRA SURYANTO IR,Sriwahyuni ST
H. USMAN EFFENDI SITORUS S.AG,"Isna Imelda Lubis, S.HI"
"DARA ADINDA KESUMA NASUTION, S.Sos.",-
OJAK MARTUA RAJA SITUNGKIR,-
SALOMO LUMBAN TOBING,Imelda Yohana Rosalina Pangaribuan
"MIKHAEL MESTRO M.S, SST. Par., MM",IRA NOOR FITRIA KUSUMA W
NABILAH ADZHANI,-
YUNITA SUGIANTI,-
"IR. HASUDUNGAN LIMBONG, MT",Maria Evita Eva
SRI YULIANTI,-
"MERRYANY GIRSANG, M.Sc",DRH. GENDRO WH
Ir. ARYA MAHENDRA SINULINGGA,INDIRA RAWIYAAKHIRTY
"FRANKY LIWIJAYA, S.H",-
"THERESA INAWATY SP, S.H","AKP. JEIFSON SITORUS, S.H., S.I.K."
Dr.. SORTAMAN SARAGIH,Drg. Risma Sitorus
"Dr. BRIGJEN TNI (PURN). AHWAN ISMADI, S.Pd., S.H., M.H.",Khadijah Malbar
ALFATI NOVA,GRAHA ANGGAR PRABAWA
"NATALIA CHRISTANTO, ST",ARDI PUTRA UTAMA
"LIBER SIMBOLON, M.KOM",-
"MUJIYANTA, SH",RUNCI DEWI SARI
SEVENFREE MANURUNG,-
H. ERNAWAN NATASAPUTRA,HJ ERNI RUSYANI
"ZIHAN FAUZI HANIF, S.Th.I",-
WIDA NURHASANAH,-
N. IIN SULASTRY,-
IKA KARTIKA,BUDI AWALUDIN
DANIEL TOGAR MARINGAN SINAGA,"HOTMA RUMAHORBO, D.R"
"NURROHMAH, S.Ag.",-
DENI RIYADI,DEPI NURHAYATI
"RIKI NOFRIWAN, M.Mar.Eng.",-
AI SITI JULAEHA,-
"HETI RUSTIASIH, SE",Agus Suhendra
VERA IMELDASARI,-
"AEP NURDIN, S.Ag., M.Si.",Neng Azizah
"Dra.. HJ. IRA DALILAH, M.AP.",Aden Rusmana
NENG RENI SUGANDI,MUHDI PRIBADI
H. JAMIL IHSAN FARUK,NURLAELA
NENG NURJANAH,ENDANG PATONI
Dra.. EUIS ATIKAH,"Drs. R. H. HIDAYAT SASTRAWINATA, M.M."
"USMAN SILITONGA, S.H.","NURHAYATI SAMPERURA, S.H."
WIDYA LATIF TRENGGONO,SITI HIDAYAH
FITRI YULIANA,HELDI CHANDRA
"AHMAD NAJIB QODRATULLAH, SE",YUYUN YUNINGSIH
"Ir. SISWANDA H SUMARTO, MPM","Ir. Hetfah Sjaifudian, MPP, PhD"
"EKSANTI, AMD",-
"Drs. H. DUDIN SA?DUDIN, M.Si",Eni Ruchyani
Mayjen TNI (Purn). H. RACHMAT BUDIYANTO,INDAH RATNA WIDAYATI
PUSPA DWI PUTRI,Fajar Gumilar
DEWI SUSANTI,U. SUKMARA
ELEN LENI RUBIANTI,AGUS SALIK
YOGI YOGASWARA,CHRISTIANA UTARITASI YULIANI
"Drs. H. MARWAN EFFENDI, SH., M.Si.",HJ. ELIS TETI ELAWATI
"Ir. H. ROESTANTO W D, M.M.",Tresa Pratiwi Roestanto
RACHMA SUTANTY,---
DENNY SHARIEFFUDIN,HJ. DIAN SUSANTI SOESILO
"Dra. ALIDA HANDAU LAMPE G., M.Si.",Ir. Hans guyer
HILMAN BUDI BADARUSUHADA,HANDAYANI
"IWAN RIDWAN, SH",Dwi Ferryana
Drs. MUCHTAR SOLI,0
FITRIAH LINDAWATI,Pratoo Bernianto
"DR.. H. MS. KABAN, SE.,MSI.",NURMALA DEWI
"ZULKIFLI, S.Si, M.Si",RIDAR ASTUTI
"IMAS KARYAMAH, M.Pd",ARIF KURIAWAN
"HENDRA WARDANA, S.M",-
"AYUB LAKSONO, S.T",YASMIN
"YASMIN, ST., MM",AYUB LAKSONO
"Drs. ERI RIDWAN LATIF, M.Ag",YULIA WIDIASARI RAHMAH
"ARNI DASRIANTI, A.Md.",-
"Hj. SRI WAHYUNI, S.Sn., MM",Drs. MUNTASIR UMAR
"Dr. R. ADJENG RATNA SUMINAR, S.H.,M.M.","MAYJEN (PURN) TNI H. Dr. Ir. SUHARNO ,MM"
H. YAYAT T. SOEMITRA,Ir. DWINA CANDRAASIH S.MSC
LITA ZEN,-
RACHEL MARYAM SAYIDINA,MUHAMMAD AKBAR PERDANA
"IIS EDHY PRABOWO, S.Hum., MM","EDHY PRABOWO, MM.,MBA"
DEDY ABDULLAH,RATNA KAMILA
ASEP SUTISNA,ELA ROHAENI
DUDDY R DEWAYANA,IYAT YULIATI
GUNTUR TRIYONO,-
INDRA WAHYUDI,R. SONYA LYLIE AH
ANNYSA SOVIA NURANI,-
MUHAMAD KADAFI,CINTA AMELIA KADAFI
"Ir. IWA GARTIWA, MM",ISYANUARI PRIHASTRIANTI
"Dr. TB. H. ACE HASAN SYADZILY, M.Si.","RITA FITRIA, S.Ag, M.Pd"
"Dr. M. SABIL RACHMAN, M.Si",Andi Rukmini
SANDRA INDRIATI NOHOLO,-
"Ir. H. LILI ASDJUDIREDJA, S.E.","HJ. ITJE SITI DEWI KURAESIN, S.SOS, M.M"
"Ir. H. ANANG SUSANTO, M.Si",Hj. Yanneu Diah Purnama
"Dr. IKKE DEWI SARTIKA, Dra., M.Pd",-
"H. AGUS MAKMUR SANTOSO, S.Kom., M.M",NELLY YUNIARTI
"FAZWAN KUSUMADINATA, S.E",Karina Indriasti Nugraha
NUNKI JUNIARTI,AGUNG SWASONOYUDHO
"Ir. H. DODDY IMRON CHOLID, M.S",Siti Nurlela
"dr. H. ADANG SUDRAJAT, MM",Evelina Dewi Hapsari
"Dipl. Ing. HJ. DIAH NURWITASARI, M.I.Pol.","Ir. H. Abdul Hadi Wijaya, M.Sc."
"Drs. H. DIDIK AGUS T, M.Pd","HJ. CHAIRINI, SSi"
YANYAN HAERANI,ARIPIN
H. DADANG SUMPENA,TINI SUMARTINI
"HJ. ROSYE DEWI RUSANTI, S.Pd",NAUZIE NOVRYADIN
"HJ. ENUNG DARIAH R, M.PD.I",H. AHMAD HIDAYAT (ALM)
DRS. ADE RATMADJA,RINA BINAWATI
ENJANG HUDORI,NONYH CAHYANI
"NUNUNG NURJANAH, S.PD",-
DRS. H. DEDEN HAMDAN M,"NUR JAMILAH, S.E"
ITA JULAEHA,AHMAD SOLIHAT
MUHAMAD RIFAL,-
"HJ. ENUNG NURYANTI, SPD, M.M.PD","H. MEMET MOCHAMAD SARIEP, SP"
"RIAN FIRMANSYAH, S.Pd",-
"H. DADANG RUSDIANA, S.E., M.Si",HJ. NONENG KARNENGSIH
"DR. BAMBANG USADI, MM","dr. ANIE DARYULINA , Spkk"
"DR.HJ. EUIS KARWATI, MPD",H.M.Ekik Barkah
H. ADE RODIANA,Hj. Rani Chintiani D.K.
PRIYANTO RAHARJO,Kurnaesih Anita
"ARIZA AGUSTINA, SE, MSi",Wahyu Nugroho
"H. ALI MUBARAK, A.MD PAR., S.E.",Aisha Abdullah
"H. ASEP BADRUZZAMAN, A.KS.",UMI SUMINAR
"AHMAD KHOLISUN, S.Pd.I",candra
Ir. MULYATIE,-
TAMRIN YADI,Intan Rospandan Sari
AFRILIZA,-
ACH. SAIFUL ULUM,LAYYA
"FREDI DARMAWAN, SE",Ami Laksmi Kusnadi
"MILLY RATUDIAN PURBASARI, ST",MUJAHID SHAFIQ MAHMUD AHMAD PONTOH
"DONNY ROMMY, SS",ELI MEILANI
MICHAEL ADIWINATA BUDIARTO,Niu Shi Yun
"JENI WIDIANINGRUM, A.Md",DONY HERMANSYAH
"RIKARDO SIMBOLON, S.Pd",-
"DENNY PURNAMA ADI CHANDRA, S.E",NURLENA
APRILLIA RAHMAWATI,-
"FITRO DHARMA HERMAWAN, S.DS",HAPPY MIA KARINA
RAHMAWATI,-
H. ABD. KHALIQ AHMAD,HJ. ETTY DALWIARTI
"RESITA KANIYA, BSBA,MBA",MIRZA TASHDIEQY TABRANI
"Drs. ADE HUSEN KARTADIPURA, SH",SRI WAHYUNI .SH
"Dr. ADJAT DARADJAT, M.Si","HJ. KETTY SUKAESIH, SE"
"AYA SOPHIA, SE",HERI SUSANTO
"DONI BALNADI KOERDI, S.Sos.,M.Si",Dra. DIANA ZULKANIADEWI
"NUSLIH JAMIAT, SE.,MM",R. INA DAMAYANTI S.Sos
HJ. RINA YULIA MARTINA,EDI JUNAEDI
"Drs. BERTHY BARNABAS RAHAWARIN, S.H",DIANA DHARMAPUTRI
"Ir. ATANG, MP",Ir SRI MARATUN
ANDUI,-
RD. SYARIFAH,-
MARYONO,"SUMARNI, S.Pd."
"ERY MAHDI, SE",BURHANI MARIDIS
"AKMALIA YUSUF, S.Pd.I",H. RISWANDI AKHIRUDDIN
DEVI PUSPANING RAHAYU,RAYKI NATO PUTRA
JAYADI,YANI SURYANI
"ABDILLAH, S.H","NINA WIDIASTUTI,SE"
"RISTIN ISTIANTI, S.E",O
DIDIT HERDINI,LUKI
HAN HAN SUBHANUDIN,VIVI YANTRI
IR. DIDIET ARRY SUPARNO,LIANI RAHAYU
KH. MAHMUD,-
YANI SURYANI FIKRIAH,MULYANA HIDAYAT
SINTA NURJANAH,-
M. KOSASIH,-
"DODI SUGIANTO, SH.,M.H.",IMAS NUR KOMARASSARI
"DR.. ABDUL JABAR MAJID, M.A","Wardah Noer, Lc"
"H. FAIZAL HAFAN FARID, SE, M.Si",Lusiana Rachmawati
"HJ. DEWI FITRI LESTARI, SS",Akhmad Hisyam
"CHAERUNNISSA, SP., M.Ak",Noval Tajudin
"H. ZAINUDHIN, SE, M.Si","HJ HANA NURLIANA, SE, MM"
dr. ADROHASLIN,"HALIM, M.Si"
"ABDUL KHOLIK, SE",SITI ROMLAH
EDI JUNAEDI,TITA ROSITA
HULWATUL UYUN,-
AGUS ARIF,CICIH WIDIA NINGSIH
HJ.YATI NURHAYATI,H.ASEP DARMA
AGUS MIFTAH,HENI SULISTYOWATI
AYUN SRI DAMAYANTI WAHYUNI,DENNY ADIN
NAPIT NADIH NURCAHYADIH,IDA HAMIDA
"SAMIN SAPUTRA, SE.,M.M","JAMAH NURYANAH S,Pdi"
UMAR BAHTIAR,IIS SAIMAH
"SUSI AGUSTINA, S.Pd.I., M.Pd","IWAN SIGIT SUTESTYO, S.T"
"DEWI MURTHASIAH, S.Hum",MARWADI
"DAENG MUHAMMAD, SE.,MSi",NURAINI
DR. HJ. MEILINA KARTIKA KADIR,ASEP JOKO RAHARJO
"dr. ASEP HIDAYAT LUKMAN, MM",HANNA NURLAELA
"Ir. CHAIRUL RAZAK, M.E",TRIWAHYUNI
"RAHMAT, SH.I",RIAKHA RENGGANISWARA
RINA SEPTIANA,-
Ir. HERRY MOELYANTO,-
"INDIRAYANI KOSTININGTYAS, SE",0
"Dr. Ir. H. NASEP RACHMAT, MM., M.Si.",0
Drs. BAMBANG ABIMANYU,Hj. Ut Tjatur Rahayu
"SONYA RIZKY, SE",Ahmad Jaya Adiguna
"ASEP AGUSTIAN, SH, MH",DITA CAHYA FITRIA
H. ABU BAKAR,Alm. Hj. Rohaya
"Dra. ASMAULHUSNA ADAM, M.Pd.",P. RAHARDJO (ALM)
"HARTONO SINGGIH, S.IP, MM",R.A FATIMAH TJANDRANEGARA
"BADRUL MUNIR, SE",0
"AZHAR AUNG, SH., S.Pi., M.Si",NURUL KHOLIFAH
Prof. DR. SANUSI UWES,AD SUPRIYATI
DR. POPI PUADAH,-
Drs. H. M. SALEH MANAF,CUT ROSMA
Ir. ABD KADIR ASSEGAF,S. AISYAH ALAYDRUS
"RIANA MELADEWI, SH.,MKn",J
MUHAMMAD RIDWAN,SITI JULAEHA
"YUSMAN DAWOLO, S.Kom.I",YULIANINGSIH
TINA MELINDA,SATRIA AKBAR
DEDEN DARMANSAH,SITI NURBAETI
drg. PUTIH SARI,MUHAMAD ALIPUDIN
"H. RUSTANDIE, SH",HJ.BETY SUSILAWATI
Ir. ARIA SULHAN WITOELAR,RADIANTINI WITOELAR
DERRY DRAJAT,IBU ALM. AFNENDA ASRIL
ANY MARIANY TENGKER,ANDI MUH BUDIMAN FAISAL
"H. DARIS, SH",Hj. NENIH
"NACE PERMANA, SE.,M.IKom",NENENG YULIA ROSI
"HJ. SUSILAWATI, SE",H. PULUNGAN
"DR. SUDJUD SIRADJUDDIN, SH., MH",SYAWLIYANTI
"DEDI MULYADI, S.H",HJ. ANNE RATNA MUSTIKA
PUTERI KOMARUDIN,-
Drs. DADANG S MUCHTAR,HJ. NURSOFA
"TUTI NURCHOLIFAH YASIN, S.ked",-
"Drs. JENRI M.P PANJAITAN, M.H",MARINA JULANITA SARAGIH
"RINA DWI ANDINI, S.H., M.H.",-
NURUL ATIQ TAJUDDIN,Hana Luthfiana
MOH. SUAIB,Fitri Sahwiarani
"MOHAMMAD AMIN FAUZI, S.H., M.Si",HJ. ANITA PERMATASARI
Drs. R. HADYMARTOMO,WAJ ALNA KHAIRAT TANJUNG
AHMAD SYAIKHU,"LILIK WAKHIDAH, SE"
"DR. H. SADUDDIN, MM.",CUCU SUGIARTI
"RATNA MULYA MADURANI, S. H","Djoko Irwan Permadi, S.H."
Drs. THOHA MAHSUN,Dra. N.E. Nurbayani
ASEP IRAWAN,Wulan Puspasari
"HJ. DWI SEPTIAWATI, S.Pd.",addy Kusrady
"PIPIN SOPIAN, S.Sos., IMRI",SULIANA EKI LARA MAHYANTI
TIA TRESNAWATI,Imam Hambali
H. NANANG IMAM FIRDAUS,YENI OKTAVIA
H. SYAIFUL HUDA,NIA KURNIANI
ABDUL ROCHMAN,YUSI ISNADIYAH
"Hj. EVI FATIMAH, S.AG.,M.AP",SUTANTO UTOMO
"JON RAMADHAN, M.Si.",YUNINGSIH
"H. NOOR JUMAN, S.AG","HJ. NANI YUNINGSIH, S.AG"
"HJ. VERA SUSANTI, S.AG., M.PD","DR. H. MUHAMMAD FAESAL, MH., M.PD"
"H. M. ATHOILLAH MURSJID, M.Si.","HJ SITI RODIAH, HJ NAFSIAH"
"RIKA OKTARIANI, S.IKOM",AGUS SUFRIADI
"SALMAN ASSAGAF, S.SOS",SUNARTI
"AHMAD FAISAL, S.HI",ROSALIA RAHMA DEWI
DELLA PUSPITA,Jocky Fernando
DRG. FERRY THOMAS TATO LATANNA,ERNITA JULI SARAGIH
"DR. NIRU ANITA SINAGA, SH,MH",IR. TIBERIUS ZALUCHU
BARTO TANGDIBALI,El- Eka Kristiani Susilawati
Dra. WARDATUL ASRIAH,"Drs. H. Suryadharma Ali, M.Si"
HJ. SITI NURMILA,H. Nahari Muslih SH
SLAMET GUNAWAN,DEWI PERMATA HATI
"ZAKY MAHENDRA ZULKARNAEN, S.PD.",AMIRAH YASMINE
"DINUL HUSNAN, S.Pd.I","Reri Surya Ningsih, SE"
"NENENG LASMITA SUSANTI, SE., M.Ak",ANWAR MUSYADAD
"MUKHAMAD CHOIRUDIN, S.HUM.",-
R.M YUSUF SUGIARTO,-
RAHMAT HIDAYAT,Bayu Supriatin
"H. SHALIH MANGARA, SH. MH",Sri Wahyuni Setyowati
"HABIB. MUANNAS, SH",HERNA WATI
"FILIVHIENA ANDALUSIA FAISOL, SE",-
ZEA ASMARA BAKRI,-
"GATOT IMAM NUGROHO, MBA",Titi Ratih Dianti
ALBERT MARTINUS,IRMA SARI WOIMBON
"NELLY MARIA SAMOSIR, M.Pd",LAMPOT PURBA
MAHAYONI,ARINA SARI
HERMAN,Dina Liliyana
"ONDO EBENEZER H P, S.Kom",MERRY CHRISTINE
"CAROL DANIEL KADANG, SE, MM.",IR MONICA LEWA KADANG
"DENNY ADIN, SE",AYUN SRI DAMAYANTI WAHYUNI
"ANGEL LELGA, S.E",VICKY PRASETYO
"H. EK BUDI SANTOSO, SE.,MM",ERMEIDA NELLI
"ROHMAT, SH.,MH",IMAS MARIAH
"Ns. AULIYA RISHA, S.Kep",-
H. M. FERRARI NURRACHADIAN,EUIS NURMALASARI
"SAHRONI SURYANA, SH",NAMAH
SYIRAJUDDIN,RINA AWALIYAH PANJAITAN
BUSTAMAM ARDY,MARYATI
WAHYUNI,JULIANTO ARGI
LAELA HAYATI,RAHMAD PADLI
FADLI ULFA,TA JIAH
SYAPARUDDIN,ZAELAWATI
RUHAMAN SUHADA,NURAINI
IR.. DJUMHUR,Rizkani
IR.. M. ALI,"ASMAWATI, BA"
MUZAWIRAH,zulkifli idris
"MUHAMMAD DARUL, S.P","SUSPARIDAINI, S.Kep"
"ASFI NURTILAWAH, A.Md. Keb",RAHMADI
BANTASYAM,RASIDAH
"IR.. ALAIDIN ABU ABBAS, MM.","HJ. NILAWATI, S.PD."
NIRFAN JAYA,"ERNAWATI, S.PD."
JURAIDAH,SAPARUDIN
"FIRMAN YOGA, ST.",dr. EVI NABILA
MUHAMMAD YASIN,SUSILAWATI
"SUCI RAHMAWATI, S.Pd.",Sutri Handoko
"Drs. H. TAUFIK, MM",RAFIQAH
"BINAKIR, S.K.M",Hj. HALIMAH
SRI WAHYULI,EDI KURNIAWAN
"AMIRUDDIN, SE","MUSFIRAH, M.Pd"
CHAIDIR,"ERNI SAFWAR, SP"
DELIMA,-
HENDRA BUDIAN,SORAYA H. M. ISA
DJULIATI,MUDARLIAN
SATRIA ARMAYANTO,-
INDRA GUNAWAN,CHADIJAH BACHRUM
SASMAYATI,Ir. M. Sarkati
"ARAMIKO ARITONANG, S.Sos",WULANDARI ASWIRAH S.Pd
SALIHIN,SARINEM
"ALAMSYAH MAHMUD GAYO, SH. MM",SARWIANA
"ROSNAWITA, S.Sos",TEUKU NARENSYAH
JUSRIADI,KASMAWATI
LOFINA WILFA,-
RAMADHANA LUBIS,Rahmayani
DESI ANI,Taufik Rusdi
"Drs, H.. T. ISLAH, M.Si",Rahmawati
"AMPERA G, ST, MT",Hanisa Fitri
"PUTRI MULYANI, S.Psi",-
BUCHARI,NURSIDAH
MUHAMMAD,SUARNI
AFRILIZA AMALIA SIREGAR,SYUKURRULLAH
"FAKHRURRAZI, S.Tp",-
"EDI SUGIANTO, A.Ma",-
IPAK MAHTAWARMI,-
MAIDA SARI,AZHARI
YENTI PASARIBU,-
TEUKU HASBULLAH. HD,Dewi Diana Aji
"Dr. AHMAD FARHAN HAMID, MS","Ir. Ferry Soraya, MSIE"
"ERMIADI ABDUL RAHMAN, ST","NOVIANITA AR, SKM"
"ROSNAWATI, S.Pd.I",KHUWALID
"H. BASRUN YUSUF, SH",Damayanti
Drs. TEUKU BUSTAMI UMAR,ERNAWATI. B
"Drs. T.A. RAHMAN ALBA, MM","Cut Nurhayati,SE Ak"
SELVI OKTARICA,-
SUNDARI,T. MELDY SAHPUTRA
"AZHARI CAGE, S.IP",TARMIZI HAMZAH
"CUT AYU MAUIDHAH, S.Sos.I, M.Sos.",-
"H. A. RIDWAN M DALLAH, SE",HJ. DR. FATIMAH ZURAIDA
"ISWADI, M.Pd",SITI AMINAH
"PIPIH SOPIAH, SE",ABDULLAH
Ir. H. TAGORE ABU BAKAR,MEUTIA FAUZIAH
"HJ. MARIA KARSIA, S.S.",A. TAVIP SYAH
"GUNTARAYADI, S.P.",EMI SHINTA SITANGGANG
HUSAINI MH,DARA ARUNI
MUHAMMAD SUFI,Rizwana
"LISNAWATI GINTING, S.H.,M.H.",RIDHO MARIUS BANGUN
"Ir. H. T. A. KHALID, M.M",CUT AFNI ZAHARA
CUT PUTEH,BAPAK
"FERRY MUNANDAR, ST",IBU
"Ir. H. NASARUDDIN, MM",Hj. APINI
"SITI NURMASYITHAH, S.Sos",BAPAK
ILHAM PANGESTU,VENTY ANGRIANI
DRS. H. MARZUKI DAUD,POCUT OLLY IDAMULINA
"CUT RIZKA SEPTIANI, M.Si",-
"FIRMANDEZ, S.E., Ak.",ROSMULYATI
"REDUK NILAWARNI, S.Pd",ZAMHARIR AR
T. YUSNI,ROSMALINA
"H. MUHAMMAD NASIR DJAMIL, S. AG.,M. Si",KHASANAH
"TGK. H. MUHAMMAD NUR, M. Si",dr. Nur Asiah Fitria
BARMANSYAH,INDI LISTYOWATI
"M. YUSUF ISMAIL PASE, SH, MH",HJ. MEUTIA AHMAD S.Pd
"SARI DEWI, SE.Ak",M. Fauzi
"MAHFUZD, SE",-
"SAYUTI, SH.MH",YULINDA
SRI ARIANA NINGSIH,-
RUSLAN M. DAUD,HJ. FARIDAH BINTI ADAM
RAHMI ABDI,Ngatimin
"FAISAL RIDHA, S.Ag., MM",Maitanur binti Mahyiddin
ZULFAN LINDAN,Nurdjannah
MUHARUDDIN,Syarifah Rahmah
FATIMAH ZUHRA,Muhammad Syukri
EFENDI,Asmaryati
"DR. IBRAHIM HASYIM SE, MM",Joy Sarabia Ibrahim
RIMA MELATI,-
"H ANWAR IDRIS,DRS",Hj. Rohayanilawati
AKMAL HANIF,Putri
NURHANITA ZAHARA,"Sudianto, SH"
Ir. SYUKUR KOBATH,Iwardatika
"JAMALUDIN, SE",Arie Wardiana
CUT FATNIAH,"Dedi Fariadi,M.Pd"
"KAMARUDDIN, SH",RR ILMIA ASTUTI RAHAYU
"RAMADLAN, ST, MT",ROSNAWATI AMD KES
IKA LESTARI,NN
CUT ERNITA,-
ZAMZAMI,CUT SANTI NORAVITA
M HUSNI,-
GIVIANNA ELY,-
HERMAN KOSASIH,RATNA DEWI
"HERMAN BAHARI, S.H",SITI AISYAH
"RAZALI ZAINUDDIN, A.Md.","Idawati, S.Km"
NURHAYATI,-
SIWI ASRI MOPRIRATNA,DONNY APRILIANANDA
Drs. H. RIDWAN KHALID,"NERS.HJ.FITRIAH, S.Kep"
"H. ASRUL ABBAS, SE","Hj. RUDIAH ABDULLAH, S.Ag"
"SALWA HANUM, A.Ma",MANSUR
"H. ABDUL FATAH, S.IP, M. Pd",HJ NILAM
MUHAMMAD DAHLAN,ROSLINDA
HUSRADEVI,-
YUSRIANI,SAIFUDDIN BADLI
"MURDANI YUSUF, SE",rara
